timestamp,Title,price,Original_Price,Shipping_Info,URL
2025-11-05 13:38:52,DJI FPV Combo - Certified Refurbished,$719.10,"$1,299.00",N/A,https://www.ebay.com/itm/305259444032?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-05 13:38:53,Unknown,$719.10,NA,N/A,NA
2025-11-05 13:38:53,Refurbished Potensic ATOM Drone 3-Axis Gimbal 4K QuickShots 249g Fly More Combo,$209.00,$359.00,N/A,https://www.ebay.com/itm/286151974895?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-05 13:38:54,Unknown,$209.00,NA,N/A,NA
2025-11-05 13:38:54,DJI Air 3 Fly More Pro Combo Drone- Certified Refurbished,"$1,699.00","$1,899.00",N/A,https://www.ebay.com/itm/305804968846?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-05 13:38:55,Unknown,"$1,699.00",NA,N/A,NA
2025-11-05 13:38:55,DJI Intelligent Battery for Mavic Air 2 / Air 2S DJI Certified Refurbished,$44.10,$89.00,N/A,https://www.ebay.com/itm/304925251592?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-05 13:39:05,Unknown,$44.10,NA,N/A,NA
2025-11-05 13:39:05,DJI Mini 4 Pro/Mini 3 Series Intelligent Battery Plus (Certified Refurbished),$71.10,NA,N/A,https://www.ebay.com/itm/306163903380?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-05 13:39:07,Unknown,$71.10,NA,N/A,NA
2025-11-05 13:39:07,"Lenovo Legion Go S 8"" 120Hz Gaming Console AMD Ryzen Z2 32GB RAM 1TB SSD Windows",$599.00,$899.00,N/A,https://www.ebay.com/itm/326736246632?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-05 13:39:17,Unknown,$599.00,NA,N/A,NA
2025-11-05 13:39:17,"Lenovo Legion Go S 8"" 120Hz Gaming Console Ryzen Z2 16GB RAM 512GB SSD SteamOS",$499.00,$799.00,N/A,https://www.ebay.com/itm/326736257464?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-05 13:39:18,Unknown,$499.00,NA,N/A,NA
2025-11-05 13:39:18,NEW ModRetro Chromatic 1st Edition Gray w/ Tetris - EXCLUSIVE,$298.88,$359.99,N/A,https://www.ebay.com/itm/296945978230?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-05 13:39:19,Unknown,$298.88,NA,N/A,NA
2025-11-05 13:39:19,Microsoft XBox 360 S Slim 250GB Black Video Game Console System 360S Bundle,$180.45,$189.95,N/A,https://www.ebay.com/itm/335152466412?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-05 13:39:20,Unknown,$180.45,NA,N/A,NA
2025-11-05 13:39:20,"Microsoft Xbox Wireless Controller For Xbox Series X / S, Xbox One & Windows PC",$43.49,$70.00,N/A,https://www.ebay.com/itm/275287871839?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-05 13:39:21,Unknown,$43.49,NA,N/A,NA
2025-11-05 13:39:21,Apple iPad 7th Generation (2019) - WiFi Only 32GB - Good,$92.00,$199.00,N/A,https://www.ebay.com/itm/134018475345?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-05 13:39:22,Unknown,$92.00,NA,N/A,NA
2025-11-05 13:39:22,"Apple 11"" Liquid Retina Touchscreen iPad Air M2 Chip 128GB Wi-Fi Purple 3M673LL/",$399.99,$499.99,N/A,https://www.ebay.com/itm/236260570005?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-05 13:39:32,Unknown,$399.99,NA,N/A,NA
2025-11-05 13:39:33,Apple 11-inch iPad A16 chip with Wi-Fi 128GB Silver MD3Y4LLA,$262.99,$399.99,N/A,https://www.ebay.com/itm/365900181197?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-05 13:39:43,Unknown,$262.99,NA,N/A,NA
